dataforge-sensor-generators  | 2026-09-24 14:10:03,702  INFO  Published totals — radar=23985 lidar=24000 telemetry=23837 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:03,718  INFO  Published totals — radar=24000 lidar=24020 telemetry=23862 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:03,817  INFO  Published totals — radar=24143 lidar=24144 telemetry=24000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:03,989  INFO  Published totals — radar=24493 lidar=24500 telemetry=24355 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:03,994  INFO  Published totals — radar=24500 lidar=24510 telemetry=24368 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,039  INFO  Published totals — radar=24612 lidar=24650 telemetry=24500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,166  INFO  Published totals — radar=24980 lidar=25000 telemetry=24834 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,178  INFO  Published totals — radar=25000 lidar=25022 telemetry=24859 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,222  INFO  Published totals — radar=25142 lidar=25187 telemetry=25000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,353  INFO  Published totals — radar=25456 lidar=25500 telemetry=25328 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,374  INFO  Published totals — radar=25500 lidar=25550 telemetry=25368 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,422  INFO  Published totals — radar=25617 lidar=25670 telemetry=25500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,623  INFO  Published totals — radar=25948 lidar=26000 telemetry=25829 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,671  INFO  Published totals — radar=26000 lidar=26053 telemetry=25901 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:04,734  INFO  Published totals — radar=26087 lidar=26142 telemetry=26000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:05,129  INFO  Published totals — radar=26485 lidar=26500 telemetry=26390 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:05,137  INFO  Published totals — radar=26500 lidar=26514 telemetry=26401 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:05,219  INFO  Published totals — radar=26606 lidar=26615 telemetry=26500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:05,531  INFO  Published totals — radar=27000 lidar=26996 telemetry=26893 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:05,539  INFO  Published totals — radar=27009 lidar=27000 telemetry=26896 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:05,622  INFO  Published totals — radar=27116 lidar=27114 telemetry=27000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:05,897  INFO  Published totals — radar=27498 lidar=27500 telemetry=27395 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:05,906  INFO  Published totals — radar=27500 lidar=27507 telemetry=27403 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:05,984  INFO  Published totals — radar=27605 lidar=27602 telemetry=27500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:06,321  INFO  Published totals — radar=28000 lidar=27997 telemetry=27927 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:06,323  INFO  Published totals — radar=28001 lidar=28000 telemetry=27930 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:06,370  INFO  Published totals — radar=28067 lidar=28047 telemetry=28000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:06,725  INFO  Published totals — radar=28500 lidar=28425 telemetry=28357 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:06,792  INFO  Published totals — radar=28570 lidar=28500 telemetry=28432 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:06,857  INFO  Published totals — radar=28634 lidar=28570 telemetry=28500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,058  INFO  Published totals — radar=29000 lidar=28914 telemetry=28858 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,101  INFO  Published totals — radar=29086 lidar=29000 telemetry=28935 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,130  INFO  Published totals — radar=29141 lidar=29061 telemetry=29000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,292  INFO  Published totals — radar=29500 lidar=29399 telemetry=29313 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,337  INFO  Published totals — radar=29580 lidar=29500 telemetry=29402 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,372  INFO  Published totals — radar=29654 lidar=29565 telemetry=29500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,503  INFO  Published totals — radar=30000 lidar=29892 telemetry=29824 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,571  INFO  Published totals — radar=30131 lidar=30000 telemetry=29940 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,607  INFO  Published totals — radar=30200 lidar=30074 telemetry=30000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,793  INFO  Published totals — radar=30500 lidar=30361 telemetry=30303 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,864  INFO  Published totals — radar=30629 lidar=30500 telemetry=30436 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:07,910  INFO  Published totals — radar=30696 lidar=30571 telemetry=30500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:08,072  INFO  Published totals — radar=31000 lidar=30877 telemetry=30797 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:08,147  INFO  Published totals — radar=31114 lidar=31000 telemetry=30903 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:08,216  INFO  Published totals — radar=31217 lidar=31104 telemetry=31000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:08,395  INFO  Published totals — radar=31500 lidar=31406 telemetry=31267 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:08,462  INFO  Published totals — radar=31610 lidar=31500 telemetry=31386 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:08,529  INFO  Published totals — radar=31713 lidar=31623 telemetry=31500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:08,692  INFO  Published totals — radar=32000 lidar=31881 telemetry=31793 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:08,760  INFO  Published totals — radar=32116 lidar=32000 telemetry=31922 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:08,810  INFO  Published totals — radar=32184 lidar=32085 telemetry=32000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,015  INFO  Published totals — radar=32500 lidar=32408 telemetry=32326 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,079  INFO  Published totals — radar=32607 lidar=32500 telemetry=32422 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,150  INFO  Published totals — radar=32682 lidar=32573 telemetry=32500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,398  INFO  Published totals — radar=33000 lidar=32911 telemetry=32854 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,451  INFO  Published totals — radar=33096 lidar=33000 telemetry=32937 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,475  INFO  Published totals — radar=33147 lidar=33048 telemetry=33000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,641  INFO  Published totals — radar=33500 lidar=33402 telemetry=33369 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,687  INFO  Published totals — radar=33608 lidar=33500 telemetry=33475 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,698  INFO  Published totals — radar=33629 lidar=33518 telemetry=33500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,874  INFO  Published totals — radar=34000 lidar=33892 telemetry=33894 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,918  INFO  Published totals — radar=34108 lidar=33988 telemetry=34000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:09,921  INFO  Published totals — radar=34118 lidar=34000 telemetry=34009 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,057  INFO  Published totals — radar=34500 lidar=34441 telemetry=34405 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,096  INFO  Published totals — radar=34571 lidar=34500 telemetry=34453 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,125  INFO  Published totals — radar=34617 lidar=34540 telemetry=34500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,356  INFO  Published totals — radar=35000 lidar=34918 telemetry=34858 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,400  INFO  Published totals — radar=35091 lidar=35000 telemetry=34938 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,436  INFO  Published totals — radar=35154 lidar=35067 telemetry=35000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,648  INFO  Published totals — radar=35500 lidar=35388 telemetry=35393 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,706  INFO  Published totals — radar=35582 lidar=35500 telemetry=35495 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,710  INFO  Published totals — radar=35590 lidar=35506 telemetry=35500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,846  INFO  Published totals — radar=36000 lidar=35903 telemetry=35907 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,899  INFO  Published totals — radar=36099 lidar=36000 telemetry=35991 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:10,906  INFO  Published totals — radar=36119 lidar=36021 telemetry=36000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:11,090  INFO  Published totals — radar=36500 lidar=36408 telemetry=36350 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:11,155  INFO  Published totals — radar=36586 lidar=36500 telemetry=36454 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:11,185  INFO  Published totals — radar=36629 lidar=36539 telemetry=36500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:11,395  INFO  Published totals — radar=37000 lidar=36911 telemetry=36868 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:11,452  INFO  Published totals — radar=37082 lidar=37000 telemetry=36969 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:11,473  INFO  Published totals — radar=37118 lidar=37032 telemetry=37000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:11,635  INFO  Published totals — radar=37500 lidar=37394 telemetry=37371 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-24 14:10:11,721  INFO  Published totals — radar=37608 lidar=37500 telemetry=37494 | failed — radar=0 lidar=0 telemetry=0
