dataforge-sensor-generators  | 2026-09-20 09:41:38,377  INFO  Published totals — radar=303500 lidar=303915 telemetry=303275 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:38,436  INFO  Published totals — radar=303569 lidar=304000 telemetry=303340 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:38,552  INFO  Published totals — radar=303745 lidar=304164 telemetry=303500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:38,735  INFO  Published totals — radar=304000 lidar=304481 telemetry=303779 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:38,748  INFO  Published totals — radar=304029 lidar=304500 telemetry=303796 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:38,941  INFO  Published totals — radar=304260 lidar=304711 telemetry=304000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:39,105  INFO  Published totals — radar=304500 lidar=304980 telemetry=304241 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:39,132  INFO  Published totals — radar=304536 lidar=305000 telemetry=304285 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:39,328  INFO  Published totals — radar=304743 lidar=305245 telemetry=304500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:39,561  INFO  Published totals — radar=305000 lidar=305497 telemetry=304778 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:39,563  INFO  Published totals — radar=305000 lidar=305500 telemetry=304779 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:39,857  INFO  Published totals — radar=305228 lidar=305772 telemetry=305000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:40,107  INFO  Published totals — radar=305437 lidar=306000 telemetry=305204 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:40,149  INFO  Published totals — radar=305500 lidar=306046 telemetry=305263 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:40,368  INFO  Published totals — radar=305778 lidar=306285 telemetry=305500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:40,498  INFO  Published totals — radar=306000 lidar=306475 telemetry=305701 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:40,510  INFO  Published totals — radar=306022 lidar=306500 telemetry=305720 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:40,667  INFO  Published totals — radar=306278 lidar=306779 telemetry=306000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:40,796  INFO  Published totals — radar=306500 lidar=306998 telemetry=306215 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:40,798  INFO  Published totals — radar=306501 lidar=307000 telemetry=306215 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:40,956  INFO  Published totals — radar=306798 lidar=307285 telemetry=306500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:41,080  INFO  Published totals — radar=307000 lidar=307475 telemetry=306691 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:41,092  INFO  Published totals — radar=307027 lidar=307500 telemetry=306711 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:41,260  INFO  Published totals — radar=307333 lidar=307774 telemetry=307000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:41,379  INFO  Published totals — radar=307500 lidar=307972 telemetry=307210 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:41,399  INFO  Published totals — radar=307536 lidar=308000 telemetry=307249 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:41,568  INFO  Published totals — radar=307805 lidar=308246 telemetry=307500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:41,698  INFO  Published totals — radar=308000 lidar=308471 telemetry=307707 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:41,712  INFO  Published totals — radar=308017 lidar=308500 telemetry=307731 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:41,913  INFO  Published totals — radar=308269 lidar=308758 telemetry=308000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:42,140  INFO  Published totals — radar=308500 lidar=308975 telemetry=308243 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:42,169  INFO  Published totals — radar=308536 lidar=309000 telemetry=308290 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:42,353  INFO  Published totals — radar=308750 lidar=309224 telemetry=308500 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:42,547  INFO  Published totals — radar=309000 lidar=309490 telemetry=308739 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:42,554  INFO  Published totals — radar=309008 lidar=309500 telemetry=308750 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:42,737  INFO  Published totals — radar=309281 lidar=309792 telemetry=309000 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:42,887  INFO  Published totals — radar=309488 lidar=310000 telemetry=309191 | failed — radar=0 lidar=0 telemetry=0
dataforge-sensor-generators  | 2026-09-20 09:41:42,892  INFO  Published totals — radar=309500 lidar=310007 telemetry=309198 | failed — radar=0 lidar=0 telemetry=0
